nome_blox,course_name,area_do_conhecimento,area_funcional,nota
ANÁLISE E PROJETO DE SISTEMAS I,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",969.7
RECURSOS HUMANOS EM INFORMÁTICA,SISTEMAS DE INFORMAÇÃO,Técnico,Gestão de Pessoas,1267.5999999999985
REDES E TELEPROCESSAMENTO II,SISTEMAS DE INFORMAÇÃO,Técnico,Hardware e Redes,1029.3999999999994
SISTEMAS DISTRIBUÍDOS,SISTEMAS DE INFORMAÇÃO,Técnico,Hardware e Redes,1124.3999999999996
MERCADO E FINANÇAS INTERNACIONAIS,ADMINISTRACAO,Técnico,Finanças e Economia,943.2999999999997
Boas Práticas em Arquitetura e Engenharia de Software,SISTEMAS DE INFORMAÇÃO,Complementar,Tecnologia da Informação,349.50000000000017
PESQUISA OPERACIONAL,ADMINISTRACAO,Quantitativo,Finanças e Economia,817.7999999999992
Minha Marca My Love (EaD),ADMINISTRACAO,Técnico,Marketing,445.40000000000003
MICROECONOMIA,ADMINISTRACAO,Básico,Finanças e Economia,743.0999999999998
FILOSOFIA E ÉTICA,ADMINISTRACAO,Básico,Sociedade e Mundo,709.4999999999999
Seja Seguro e Auditável: utilizando ferramentas,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,273.00000000000006
"EaD - Uma Marca em Minha Vida ",ADMINISTRACAO,Técnico,Marketing,438
ESTRATÉGIAS DE COMUNICAÇÃO E PREÇOS,ADMINISTRACAO,Técnico,Estratégia e Negociação,950.1999999999992
INTRODUÇÃO AO DIREITO,ADMINISTRACAO,Básico,Sociedade e Mundo,707.9000000000001
Aperfeiçoando Bancos De Dados com SQL,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",162
GESTÃO PÚBLICA,ADMINISTRACAO,Técnico,Estratégia e Negociação,942.5999999999999
MATEMÁTICA II,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,694.1000000000001
Desmistificando a Gestão da Tecnologia da Informação,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,374.3000000000001
Governança de TI aplicando ITIL,SISTEMAS DE INFORMAÇÃO,Complementar,Tecnologia da Informação,504.9000000000002
COMPORTAMENTO ORGANIZACIONAL,ADMINISTRACAO,Básico,Gestão de Pessoas,763
APLICAÇÕES EM NUVENS E CONTAINERS,SISTEMAS DE INFORMAÇÃO,Complementar,"Software, Programação e Dados",346.40000000000003
LABORATÓRIO DE PROGRAMAÇÃO III,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",753.6999999999999
AQUILO QUE PERTENCE AO CARÁTER - ÉTICA,ADMINISTRACAO,Básico,Sociedade e Mundo,240.90000000000003
GESTÃO DA QUALIDADE,ADMINISTRACAO,Técnico,Estratégia e Negociação,950.2999999999995
CONTABILIDADE GERENCIAL,ADMINISTRACAO,Quantitativo,Contabilidade,657.1
ESTATISTICA II,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,507.09999999999997
ADMINISTRAÇÃO DE RECURSOS HUMANOS I,ADMINISTRACAO,Técnico,Gestão de Pessoas,733.1
COMPORTAMENTO DO CONSUMIDOR,ADMINISTRACAO,Área de conhecimento desconhecido,Área funcional desconhecida,828.3999999999996
GOVERNANÇA CORPORATIVA,ADMINISTRACAO,Área de conhecimento desconhecido,Área funcional desconhecida,872.9000000000002
