nome_blox,status,nome_curso,Record Count,area_conhecimento
Metodologias ágeis para desenvolvimento e melhoria de softwares,cancelled,Extensão em Negócios e Inovação,144,1
O que é Educação Infantil?,cancelled,Extensão em Negócios e Inovação,144,1
Até onde vai o impacto da inovação na educação,ongoing,Extensão em Negócios e Inovação,144,1
Interligando redes de computadores,ongoing,Extensão em Negócios e Inovação,144,1
Matemática aplicada: Funções e equações,ongoing,Extensão em Negócios e Inovação,144,1
Comportamento organizacional,cancelled,Extensão em Negócios e Inovação,140,1
O que é conhecimento?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),138,1
O comportamento humano,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),138,1
Aprender brincando: ludicidade e pensamento pedagógico,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),138,1
Analisando dados estatísticos,cancelled,Extensão em Negócios e Inovação,132,1
Todos conectados: redes de computadores,ongoing,Extensão em Negócios e Inovação,132,1
Os desafios da prática pedagógica no ensino da língua escrita,ongoing,Extensão em Negócios e Inovação,132,1
Inovar para o sucesso!,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),132,1
Paradigmas pedagógicos,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),132,1
Planejar para empreender! Plano de negócios e Modelo de negócios,cancelled,Extensão em Negócios e Inovação,128,1
Como aprendemos: Teorias de Aprendizagem,cancelled,Extensão em Negócios e Inovação,126,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),120,1
Até onde vai o impacto da inovação na educação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),120,1
O que é Educação Básica?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),114,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),114,1
