,materia,a.conhecimento
0,Cultura Visual,"Humanidades, Artes e Linguagens"
1,Estatística Descritiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
2,Introdução à Economia,"Ciências Sociais, Jornalismo e Informação"
3,Metodologia da Pesquisa,programas genericos
4,Ciências Sociais Aplicadas à Administração,Negócios e Administração
5,Introdução ao Marketing,Negócios e Administração
6,Introdução ao Universo do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
7,Matemática Aplicada I,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
8,Teoria Geral da Administração,Negócios e Administração
9,Comportamento do Consumidor,Negócios e Administração
10,Filosofia,"Humanidades, Artes e Linguagens"
11,Psicologia Aplicada à Administracão,Psicologia e Desenvolvimento Pessoal
12,"Audio-Visual (TV, Rádio e Cinema)","Humanidades, Artes e Linguagens"
13,Composto de Marketing,Negócios e Administração
14,Economia do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
15,Matemática Aplicada II,"Engenharia, Produção e Construção"
16,Estatística Aplicada à Pesquisa,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
17,Análise de Tendências,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
18,Contabilidade Financeira de Custos,Negócios e Administração
19,Diagnóstico Estratégico de Marketing,Negócios e Administração
20,Direito Empresarial,Direito
21,Entretenimento Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
22,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
23,Pesquisa Quantitativa,Educação
24,Teoria das Organizações,Negócios e Administração
25,Negócio das Indústrias Culturais,"Humanidades, Artes e Linguagens"
26,Cálculos Financeiros,Negócios e Administração
27,Direito Trabalhista,Direito
28,Gestão de Operações,Negócios e Administração
29,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
30,Negócio do Turismo,Serviços
31,Pesquisa Qualitativa,Educação
32,Plano Estratégico de Marketing,Negócios e Administração
33,Estratégias de Marcas,Negócios e Administração
34,Comportamento Organizacional,Negócios e Administração
35,Finanças Corporativas e Orçamento,Negócios e Administração
36,Gestão de Tecnologia,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
37,Marketing de Serviços,Negócios e Administração
38,Mercado Cultural e Leis de Incentivo,"Ciências Sociais, Jornalismo e Informação"
39,Negócio da Moda,"Humanidades, Artes e Linguagens"
40,Modelagem e Pesquisa Operacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
41,Gestão de Projetos,Negócios e Administração
42,Logística Empresarial,Negócios e Administração
43,Narrativas e Marcas,Negócios e Administração
44,Planejamento e Desenvolvimento de Recursos Humanos,Negócios e Administração
45,Planejamento Estratégico de Comunicação Corporativa,Negócios e Administração
46,Produção Cultural,"Humanidades, Artes e Linguagens"
47,"Trade, Vendas e Varejo",Serviços
48,TCC I,programas genericos
49,Empreendedorismo e Inovação na Economia Criativa,Negócios e Administração
50,Estratégias e Jogos Empresariais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
51,Gestão de Investimentos,Negócios e Administração
52,Marketing de Relacionamento,Negócios e Administração
53,Negócio dos Esportes,Negócios e Administração
54,Negociação,Negócios e Administração
55,Responsabilidade Social e Ambiental,"Humanidades, Artes e Linguagens"
56,TCC II,programas genericos
57,Estágio Supervisionado,programas genericos
58,Projeto Integrado I - Arenas de Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
59,Ciências Sociais Aplicadas à Administração,Negócios e Administração
60,Filosofia,"Humanidades, Artes e Linguagens"
61,Introdução ao Marketing,Negócios e Administração
62,Introdução ao Universo do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
63,Matemática Aplicada I,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
64,Metodologia da Pesquisa,programas genericos
65,Teoria Geral da Administração,Negócios e Administração
66,Projeto Integrado II - Análise de Tendências,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
67,"Audio-Visual (TV, Rádio e Cinema)","Humanidades, Artes e Linguagens"
68,Composto de Marketing,Negócios e Administração
69,Economia do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
70,Estatística Descritiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
71,Matemática Aplicada II,"Engenharia, Produção e Construção"
72,Pesquisa Quantitativa,Educação
73,Psicologia Aplicada à Administração,Negócios e Administração
74,Projeto Integrado III - Indústrias Culturais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
75,Contabilidade Financeira e Análise de Balanços,Negócios e Administração
76,Diagnóstico Estratégico de Marketing,Negócios e Administração
77,Direito Empresarial,Direito
78,Entretenimento Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
79,Estatística Aplicada à Pesquisa,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
80,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
81,Pesquisa Qualitativa,Educação
82,Projeto Integrado IV - Negociação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
83,Comportamento do Consumidor,Negócios e Administração
84,Contabilidade Gerencial e Controladoria,Negócios e Administração
85,Direito Trabalhista,Direito
86,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
87,Negócio do Turismo,Serviços
88,Plano Estratégico de Marketing,Negócios e Administração
89,Teoria das Organizações,Negócios e Administração
90,Projeto Integrado V - Organizações,"Agricultura, Silvicultura, Pesca e Veterinária"
91,Cálculos Financeiros e Ativos,Negócios e Administração
92,Comportamento Organizacional,Negócios e Administração
93,Gestão de Marcas,Negócios e Administração
94,Gestão de Operações,Negócios e Administração
95,Marketing de Serviços,Negócios e Administração
96,Mercado Cultural e Leis de Incentivo,"Ciências Sociais, Jornalismo e Informação"
97,Negócio da Moda,"Humanidades, Artes e Linguagens"
98,Projeto Integrado VI - Planejamento Financeiro,Negócios e Administração
99,Finanças Corporativas,Negócios e Administração
100,Gestão de Tecnologia e Projetos,Negócios e Administração
101,Modelagem e Pesquisa Operacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
102,Narrativas e Marcas,Negócios e Administração
103,Planejamento e Desenvolvimento de Recursos Humanos,Negócios e Administração
104,Produção Cultural,"Humanidades, Artes e Linguagens"
105,"Trade, Vendas e Varejo",Serviços
106,TCC I,programas genericos
107,Empreendedorismo e Inovação na Economia Criativa,Negócios e Administração
108,Estratégias e Jogos Empresariais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
109,Logística Empresarial,Negócios e Administração
110,Marketing de Relacionamento (B2B e B2C),Negócios e Administração
111,Negócio dos Esportes,Negócios e Administração
112,Planejamento Financeiro e Orçamento,Negócios e Administração
113,TCC II,programas genericos
114,Estratégias de Sustentabilidade,"Engenharia, Produção e Construção"
115,Negociação,Negócios e Administração
116,Estágio Supervisionado,programas genericos
117,Finanças Aplicadas de Mercado,Negócios e Administração
118,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
119,Pensamento Contemporâneo I,Negócios e Administração
120,Fundamentos de Marketing,Negócios e Administração
121,Matemática Básica,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
122,Cálculo e Modelos Aplicados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
123,"Inovação, Criatividade e Novos Modelos de Negócios",Negócios e Administração
124,Entretenimento Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
125,Comportamento do Consumidor,Negócios e Administração
126,Pesquisa de Mercado e Estatística Aplicada,"Ciências Sociais, Jornalismo e Informação"
127,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
128,Design e Teoria das Organizacões,"Humanidades, Artes e Linguagens"
129,Gestão de Custos e Preços,Negócios e Administração
130,Direito e Ética nos Negócios,Direito
131,Gestão de Pessoas e Cultura Organizacional,Negócios e Administração
132,Leis de Incentivo e Eventos,Serviços
133,Análise e Visualização de Dados,"Engenharia, Produção e Construção"
134,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
135,Gestão de Operações,Negócios e Administração
136,Marketing Estratégico (Business Game),Negócios e Administração
137,Finanças Corporativas e Valor,Negócios e Administração
138,Negócio da Música,"Humanidades, Artes e Linguagens"
139,Universo do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
140,Gestão de Investimentos e Modelagem,Negócios e Administração
141,Planejamento de Marketing,Negócios e Administração
142,Branding,Educação
143,Modelagem de Negócios ,Negócios e Administração
144,Negócio dos Esportes,Negócios e Administração
145,Business Technology,Negócios e Administração
146,Estratégias Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
147,Acompanhamento de Carreira / Estágio Supervisionado,Ciências Naturais
148,Estratégia Empresarial,Negócios e Administração
149,Negociações Complexas e Gestão de Crises,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
150,Projeto de TCC,programas genericos
151,Projetos de Sustentabilidade,Ciências Naturais
152,TCC I,programas genericos
153,Projetos de Sustentabilidade,Ciências Naturais
154,TCC I,programas genericos
155,TCC II,programas genericos
156,TCC II,programas genericos
157,Neurociência Aplicada à Pesquisa,Ciências Naturais
158,Marketing de Relacionamento,Negócios e Administração
159,Lógica Dominante dos Serviços,Saúde e Bem-Estar Social
160,Consumer & Culture Theory,Negócios e Administração
161,Projetos em Esportes,Educação
162,Projetos na Indústria Musical,"Engenharia, Produção e Construção"
163,Negócio da Moda,"Humanidades, Artes e Linguagens"
164,Negócio do Turismo,Serviços
165,E-commerce,Educação
166,Search Engine Marketing - SEM,Negócios e Administração
167,Comportamento nas Redes Sociais,"Ciências Sociais, Jornalismo e Informação"
168,Analytics,Educação
169,Laboratório de Apredizagem,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
170,Criatividade,Educação
171,Pensamento Científico,programas genericos
172,Saúde Financeira,Negócios e Administração
173,Lógica e Visualização de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
174,Raciocínio Computacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
175,"Propósito, Carreira e Autorrealização",Ciências Naturais
176,Apresentação de Ideias e Projetos,"Agricultura, Silvicultura, Pesca e Veterinária"
177,Artes,"Humanidades, Artes e Linguagens"
178,Liderança e Trabalho Multicultural,Negócios e Administração
179,Empreendedorismo,Negócios e Administração
180,Laboratório de Expressão e Comunicação,Direito
181,Introdução à Economia,"Ciências Sociais, Jornalismo e Informação"
182,Antropologia,"Ciências Sociais, Jornalismo e Informação"
183,Branding,Educação
184,Proficiência em Matemática,Educação
185,Finanças de Mercado,Negócios e Administração
186,Teoria da Administração (Introdução),Negócios e Administração
187,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
188,Sociologia,"Ciências Sociais, Jornalismo e Informação"
189,Marketing I,Negócios e Administração
190,Estatística Descritiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
191,Laboratório de Criação de Textos,programas genericos
192,Filosofia,"Humanidades, Artes e Linguagens"
193,Direito Empresarial I,Direito
194,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
195,Contabilidade Empresarial,Negócios e Administração
196,Comportamento do Consumidor,Negócios e Administração
197,Marketing II,Negócios e Administração
198,Administração de Sistema de Informações,Negócios e Administração
199,Cálculo Diferencial,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
200,Inglês para Negócios I,Negócios e Administração
201,Laboratório de Liderança,Psicologia e Desenvolvimento Pessoal
202,Cálculo Integral,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
203,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
204,Gestão de Custos e Preços,Negócios e Administração
205,Finanças Corporativas,Negócios e Administração
206,Gestão de Pessoas,Negócios e Administração
207,Pesquisa de Marketing I,Negócios e Administração
208,Estratégia de Marketing,Negócios e Administração
209,Inferência Estatística,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
210,Inglês para Negócios II,Negócios e Administração
211,Laboratório de Negociação,Negócios e Administração
212,Direito Empresarial II,Direito
213,Gestão de Investimentos,Negócios e Administração
214,Teoria das Organizações,Negócios e Administração
215,Planejamento de Marketing,Negócios e Administração
216,Estatística Multivariada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
217,Gerência de Comunicação com o Mercado,Ciências Naturais
218,Teoria do Conhecimento,"Ciências Sociais, Jornalismo e Informação"
219,Estratégia Empresarial,Negócios e Administração
220,Gestão das Operações I,Negócios e Administração
221,Análise de Decisões,Negócios e Administração
222,Pesquisa de Marketing II,Negócios e Administração
223,Gerência de Vendas e Trade Marketing,Serviços
224,Empreendedores e Ação Empreendedora,Negócios e Administração
225,Empreendedores e Empreendedorismo Social,Negócios e Administração
226,Mercado de Capitais,Negócios e Administração
227,"Governança, Riscos e Compliance",Direito
228,Comércio Exterior,"Ciências Sociais, Jornalismo e Informação"
229,Global Strategic Management,"Agricultura, Silvicultura, Pesca e Veterinária"
230,Global Supply Chain,"Ciências Sociais, Jornalismo e Informação"
231,Fundamentos do Supply Chain Management,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
232,Jogos de Empresa,Negócios e Administração
233,Controladoria,Negócios e Administração
234,Gestão das Operações II,Negócios e Administração
235,Estratégia Metodológica do TCC,Negócios e Administração
236,"Gerência de Marcas, Produtos e Serviços B2C",Negócios e Administração
237,Plano de Negócio,Negócios e Administração
238,Gestão de Pequenas e Médias Empresas,Educação
239,Finanças Internacionais,Negócios e Administração
240,"Avaliação, Fusão e Aquisições","Agricultura, Silvicultura, Pesca e Veterinária"
241,Geopolítica,Educação
242,Marketing Internacional,Negócios e Administração
243,International Marketing,Negócios e Administração
244,International Organizational Behavior,Educação
245,Supply Chain: Criação de Valor,"Agricultura, Silvicultura, Pesca e Veterinária"
246,Supply Chain: Modelagem de Decisões,Negócios e Administração
247,Responsabilidade Social e Ambiental,"Humanidades, Artes e Linguagens"
248,Gestão da Mudança,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
249,TCC I,programas genericos
250,Estágio,programas genericos
251,Gerência de Serviços B2B,Saúde e Bem-Estar Social
252,Análise de Conjuntura,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
253,Teoria Administrativa Critica,"Engenharia, Produção e Construção"
254,TCC II,programas genericos
255,"Avaliação, Fusão e Aquisições","Agricultura, Silvicultura, Pesca e Veterinária"
256,Comércio Exterior,"Ciências Sociais, Jornalismo e Informação"
257,Empreendedores e Ação Empreendedora,Negócios e Administração
258,Empreendedores e Empreendedorismo Social,Negócios e Administração
259,Finanças Internacionais,Negócios e Administração
260,Fundamentos do Supply Chain Management,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
261,Geopolítica,Educação
262,Gestão de Pequenas e Médias Empresas,Educação
263,Global Strategic Management,"Agricultura, Silvicultura, Pesca e Veterinária"
264,Global Supply Chain,"Ciências Sociais, Jornalismo e Informação"
265,"Governança, Riscos e Compliance",Direito
266,International Marketing,Negócios e Administração
267,International Organizational Behavior,Educação
268,Marketing Internacional,Negócios e Administração
269,Mercado de Capitais,Negócios e Administração
270,Plano de Negócio,Negócios e Administração
271,Supply Chain: Criação de Valor,"Agricultura, Silvicultura, Pesca e Veterinária"
272,Supply Chain: Modelagem de Decisões,Negócios e Administração
273,Webdesign,Educação
274,Inovação e Comportamento do Consumidor,Negócios e Administração
275,Lider-Coach: Preparando-se para a Liderança do Século XXI,"Humanidades, Artes e Linguagens"
276,Expressão e Comunicação: Práticas de Apresentação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
277,"Direção de Cinema - Técnica, Conceito e Aplicação","Humanidades, Artes e Linguagens"
278,Gestão de Pequena e Média Empresa                   ,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
279,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
280,Narrativas e Roteiros para Vídeo Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
281,Empreendedores e Empreendedorismo Social: Projetos Sociais,Negócios e Administração
282,Edição e Design de Publicações ,"Humanidades, Artes e Linguagens"
283,Estudo de Caso em Marketing,Negócios e Administração
284,Ciência Política,"Humanidades, Artes e Linguagens"
285,Tópicos Financeiros - Gestão de Carteiras e Fundos,Negócios e Administração
286,Business Inteligence,Negócios e Administração
287,Tópicos Emergentes I,Negócios e Administração
288,Marketing Digital,Negócios e Administração
289,Indicadores Financeiros como Alavanca Estratégicas,Negócios e Administração
290,Brasil: Ambiente de Negócios,Negócios e Administração
291,Finanças Internacionais,Negócios e Administração
292,Inovação da Gestão de Pessoas: Desenvolvendo a Mentalidade Empreendedora,Negócios e Administração
293,Marketing de Nichos,Negócios e Administração
294,Tópicos Financeiros - Gestão de Riscos e Derivativos,Negócios e Administração
295,Diagnóstico Financeiro do Negócio,Negócios e Administração
296,Comunicação e Consumo: como analisar as mídias,Negócios e Administração
297,Análise de Jogos - Digitais e Analógicos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
298,Análise de Dados Aplicada à Soluções Corporativas,"Engenharia, Produção e Construção"
299,Diversidade: uma Visão Crítica e Humanística da Gestão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
300,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
301,Carreira: Desenhando seu Caminho em um Mundo Complexo e Instável,Ciências Naturais
302,Big Data com Foco em Negócios,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
303,"Brand Entertainment: Linguagem, Comunicação e Gestão",Programas Interdisciplinares
304,Game Design,"Humanidades, Artes e Linguagens"
305,Construindo um Futuro Melhor: Vivenciando Negócios de Impacto Social,Negócios e Administração
306,Introdução à Inovação,Negócios e Administração
307,"Inovação, Estratégia e Desing Thinking",Negócios e Administração
308,Mitos e Símbolos na Produção da Cultura,"Engenharia, Produção e Construção"
309,"Moda, Consumo e Comportamento","Ciências Sociais, Jornalismo e Informação"
310,Neurociência Aplicada ao Mercado,Ciências Naturais
311,O Que Você Precisa Saber Sobre Inteligência Artificial,"Ciências Sociais, Jornalismo e Informação"
312,Game Cultura,Negócios e Administração
313,"Visões do Contemporâneo: Reflexões sobre a Sociedade, a Cultura e a Política no Século XXI","Ciências Sociais, Jornalismo e Informação"
314,Gestão Estratégica de Varejo,programas genericos
315,Negociação Executiva Empresarial e Gestão de Conflitos,Negócios e Administração
316,Programação para Gestores,Negócios e Administração
317,Audiovisual: Mercados e Carreira,"Humanidades, Artes e Linguagens"
318,CRM - Costumer Relationship Management,"Agricultura, Silvicultura, Pesca e Veterinária"
319,Marketing e a Gestão da Experiência do Cliente,Negócios e Administração
320,Empreendedorismo,Negócios e Administração
321,International Organization Behavior and Multi-Cultural Business Environments,Negócios e Administração
322,Laboratório de Expressão e Comunicação,Direito
323,Introdução à Economia,"Ciências Sociais, Jornalismo e Informação"
324,Antropologia,"Ciências Sociais, Jornalismo e Informação"
325,Branding,Educação
326,Proficiência em Matemática,Educação
327,Finanças de Mercado,Negócios e Administração
328,Teoria da Administração (Introdução),Negócios e Administração
329,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
330,Sociologia,"Ciências Sociais, Jornalismo e Informação"
331,Marketing I,Negócios e Administração
332,Estatística Descritiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
333,Laboratório de Criação de Textos,programas genericos
334,Filosofia,"Humanidades, Artes e Linguagens"
335,Direito Empresarial I,Direito
336,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
337,Contabilidade Empresarial,Negócios e Administração
338,Comportamento do Consumidor,Negócios e Administração
339,Marketing II,Negócios e Administração
340,Administração de Sistema de Informações,Negócios e Administração
341,Cálculo Diferencial,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
342,Laboratório de Liderança,Psicologia e Desenvolvimento Pessoal
343,Cálculo Integral,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
344,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
345,Gestão de Custos e Preços,Negócios e Administração
346,Finanças Corporativas,Negócios e Administração
347,Gestão de Pessoas,Negócios e Administração
348,Pesquisa de Marketing I,Negócios e Administração
349,Estratégia de Marketing,Negócios e Administração
350,Inferência Estatística,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
351,Laboratório de Negociação,Negócios e Administração
352,Direito Empresarial II,Direito
353,Gestão de Investimentos,Negócios e Administração
354,Teoria das Organizações,Negócios e Administração
355,Planejamento de Marketing,Negócios e Administração
356,Estatística Multivariada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
357,Gerência de Comunicação com o Mercado,Ciências Naturais
358,Teoria do Conhecimento,"Ciências Sociais, Jornalismo e Informação"
359,Estratégia Empresarial,Negócios e Administração
360,Gestão das Operações I,Negócios e Administração
361,Análise de Decisões,Negócios e Administração
362,Pesquisa de Marketing II,Negócios e Administração
363,Gerência de Vendas e Trade Marketing,Serviços
364,Empreendedores e Ação Empreendedora,Negócios e Administração
365,Empreendedores e Empreendedorismo Social,Negócios e Administração
366,Mercado de Capitais,Negócios e Administração
367,"Governança, Riscos e Compliance",Direito
368,Comércio Exterior,"Ciências Sociais, Jornalismo e Informação"
369,Global Strategic Management,"Agricultura, Silvicultura, Pesca e Veterinária"
370,Global Supply Chain,"Ciências Sociais, Jornalismo e Informação"
371,Fundamentos do Supply Chain Management,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
372,Jogos de Empresa,Negócios e Administração
373,Controladoria,Negócios e Administração
374,Gestão das Operações II,Negócios e Administração
375,Estratégia Metodológica do TCC,Negócios e Administração
376,"Gerência de Marcas, Produtos e Serviços B2C",Negócios e Administração
377,Plano de Negócio,Negócios e Administração
378,Gestão de Pequenas e Médias Empresas,Educação
379,Finanças Internacionais,Negócios e Administração
380,"Avaliação, Fusão e Aquisições","Agricultura, Silvicultura, Pesca e Veterinária"
381,Geopolítica,Educação
382,Marketing Internacional,Negócios e Administração
383,International Marketing,Negócios e Administração
384,International Organizational Behavior,Educação
385,Supply Chain: Criação de Valor,"Agricultura, Silvicultura, Pesca e Veterinária"
386,Supply Chain: Modelagem de Decisões,Negócios e Administração
387,Responsabilidade Social e Ambiental,"Humanidades, Artes e Linguagens"
388,Gestão da Mudança,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
389,TCC I,programas genericos
390,Gerência de Serviços B2B,Saúde e Bem-Estar Social
391,Estágio,programas genericos
392,Análise de Conjuntura,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
393,Teoria Administrativa Critica,"Engenharia, Produção e Construção"
394,TCC II,programas genericos
395,"Avaliação, Fusão e Aquisições","Agricultura, Silvicultura, Pesca e Veterinária"
396,Comércio Exterior,"Ciências Sociais, Jornalismo e Informação"
397,Empreendedores e Ação Empreendedora,Negócios e Administração
398,Empreendedores e Empreendedorismo Social,Negócios e Administração
399,Finanças Internacionais,Negócios e Administração
400,Fundamentos do Supply Chain Management,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
401,Geopolítica,Educação
402,Gestão de Pequenas e Médias Empresas,Educação
403,Global Strategic Management,"Agricultura, Silvicultura, Pesca e Veterinária"
404,Global Supply Chain,"Ciências Sociais, Jornalismo e Informação"
405,"Governança, Riscos e Compliance",Direito
406,International Marketing,Negócios e Administração
407,International Organizational Behavior,Educação
408,Marketing Internacional,Negócios e Administração
409,Mercado de Capitais,Negócios e Administração
410,Plano de Negócio,Negócios e Administração
411,Supply Chain: Criação de Valor,"Agricultura, Silvicultura, Pesca e Veterinária"
412,Supply Chain: Modelagem de Decisões,Negócios e Administração
413,Webdesign,Educação
414,Inovação e Comportamento do Consumidor,Negócios e Administração
415,Lider-Coach: Preparando-se para a Liderança do Século XXI,"Humanidades, Artes e Linguagens"
416,Expressão e Comunicação: Práticas de Apresentação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
417,"Direção de Cinema - Técnica, Conceito e Aplicação","Humanidades, Artes e Linguagens"
418,Gestão de Pequena e Média Empresa                   ,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
419,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
420,Narrativas e Roteiros para Vídeo Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
421,Empreendedores e Empreendedorismo Social: Projetos Sociais,Negócios e Administração
422,Edição e Design de Publicações ,"Humanidades, Artes e Linguagens"
423,Estudo de Caso em Marketing,Negócios e Administração
424,Ciência Política,"Humanidades, Artes e Linguagens"
425,Tópicos Financeiros - Gestão de Carteiras e Fundos,Negócios e Administração
426,Big Data com Foco em Negócios,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
427,Negociação Executiva Empresarial e Gestão de Conflitos,Negócios e Administração
428,"Visões do Contemporâneo: Reflexões sobre a Sociedade, a Cultura e a Política no Século XXI","Ciências Sociais, Jornalismo e Informação"
429,Construindo um Futuro Melhor: Vivenciando Negócios de Impacto Social,Negócios e Administração
430,Business Inteligence,Negócios e Administração
431,Estratégia de Comunicação Empresarial,Negócios e Administração
432,Execução Estratégica,Ciências Naturais
433,Geomarketing,Educação
434,E-Commerce e Logística,Negócios e Administração
435,Análise de Métricas Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
436,Mercado de Capitais,Negócios e Administração
437,Marketing Digital,Negócios e Administração
438,Ser Gestor e Líder: Competências de Comunicação e Negociação para Trabalhar em Equipe,Negócios e Administração
439,Neurociência Aplicada ao Mercado,Ciências Naturais
440,Comunicação de Marketing,Negócios e Administração
441,Estratégia de Games para Comunicação e Marketing,Negócios e Administração
442,Criando Valor com Métricas Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
443,Tópicos Financeiros - Gestão de Riscos e Derivativos,Negócios e Administração
444,Economia Criativa,"Ciências Sociais, Jornalismo e Informação"
445,Diversidade: O Grande Desafio Contemporâneo da Sociedade e das Empresas,Negócios e Administração
446,Tópicos Emergentes I,Negócios e Administração
447,Indicadores Financeiros como Alavanca Estratégicas,Negócios e Administração
448,Brasil: Ambiente de Negócios,Negócios e Administração
449,Finanças Internacionais,Negócios e Administração
450,Inovação da Gestão de Pessoas: Desenvolvendo a Mentalidade Empreendedora,Negócios e Administração
451,Marketing de Nichos,Negócios e Administração
452,Diagnóstico Financeiro do Negócio,Negócios e Administração
453,Game Design,"Humanidades, Artes e Linguagens"
454,Introdução à Inovação,Negócios e Administração
455,Marketing e a Gestão da Experiência do Cliente,Negócios e Administração
456,Mitos e Símbolos na Produção da Cultura,"Engenharia, Produção e Construção"
457,"Moda, Consumo e Comportamento","Ciências Sociais, Jornalismo e Informação"
458,O Que Você Precisa Saber Sobre Inteligência Artificial,"Ciências Sociais, Jornalismo e Informação"
459,Game Cultura,Negócios e Administração
460,"Inovação, Estratégia e Desing Thinking",Negócios e Administração
461,Gestão Estratégica de Varejo,programas genericos
462,Programação para Gestores,Negócios e Administração
463,Comunicação e Consumo: como analisar as mídias,Negócios e Administração
464,Audiovisual: Mercados e Carreira,"Humanidades, Artes e Linguagens"
465,Análise de Dados Aplicada à Soluções Corporativas,"Engenharia, Produção e Construção"
466,Diversidade: uma Visão Crítica e Humanística da Gestão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
467,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
468,"Brand Entertainment: Linguagem, Comunicação e Gestão",Programas Interdisciplinares
469,Análise de Jogos - Digitais e Analógicos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
470,Carreira: Desenhando seu Caminho em um Mundo Complexo e Instável,Ciências Naturais
471,CRM - Costumer Relationship Management,"Agricultura, Silvicultura, Pesca e Veterinária"
472,Empreendedorismo,Negócios e Administração
473,International Organization Behavior and Multi-Cultural Business Environments,Negócios e Administração
474,Data Visualization,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
475,Jogos de Empresas,programas genericos
476,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
477,Matemática Financeira,Negócios e Administração
478,Fundamentos de Gestão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
479,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
