,materia,a.conhecimento
1994,Marketing Estratégico,Negócios e Administração
1995,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1996,Direito Trabalhista,Direito
1997,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1998,Teoria Das Organizações,Negócios e Administração
1999,Gestão de Operações,Negócios e Administração
2000,Antropologia,"Ciências Sociais, Jornalismo e Informação"
2001,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
2002,Gestão Contábil,Negócios e Administração
2003,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
2004,Estratégicas de Custo e Preço,Negócios e Administração
2005,Comportamento do Consumidor,Negócios e Administração
2006,Planejamento de Marketing,Negócios e Administração
2007,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
2008,Gestão de Comunicação com o Mercado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
2009,Gestão Estratégica de Pessoas,Negócios e Administração
2010,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
2011,Análise de Ambiente de Negócios Digitais,Negócios e Administração
2012,Consumo e Entretenimento Digital,Negócios e Administração
2013,Marketing Digital,Negócios e Administração
2014,Análise de Novos Negócios,Negócios e Administração
2015,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
2016,Logística Internacional,Negócios e Administração
2017,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
2018,Gestão da Inovação,Negócios e Administração
2019,Gestão de Vendas e Trade Marketing,Negócios e Administração
2020,Administração Financeira,Negócios e Administração
